,Drug Name,Cell Line Name,TCGA Classification,Tissue,IC50,AUC,Z score
208,Nutlin-3a (-),UACC-257,SKCM,skin,4.6861751833143135,0.952288272263838,0.15106631945391957
209,Nutlin-3a (-),RXF393,KIRC,kidney,3.460604491129816,0.9225593670932394,-0.5347574231711452
210,Nutlin-3a (-),SN12C,KIRC,kidney,5.80473830397075,0.9839072403605656,0.7770091154615485
211,Nutlin-3a (-),TK10,KIRC,kidney,7.455487720835114,0.9567332575071018,1.7007609238473436
212,Nutlin-3a (-),U031,KIRC,kidney,2.0627014633260665,0.852512237547103,-1.3170175510193658
213,Nutlin-3a (-),SNB75,GBM,nervous_system,4.758119173749235,0.9552733681178176,0.19132584678605005
214,Nutlin-3a (-),U251,GBM,nervous_system,5.816765790280089,0.9831336211085064,0.7837396416789626
215,Nutlin-3a (-),SF539,LGG,nervous_system,4.75860334301352,0.9837418889202159,0.19159678568742325
216,Nutlin-3a (-),SF295,GBM,nervous_system,5.495574749784205,0.9790294870484496,0.6040026074178946
217,Nutlin-3a (-),SF268,GBM,nervous_system,6.4768370658599,0.9877308989923473,1.153112502423986
218,Nutlin-3a (-),KM12,COREAD,digestive_system,6.247731494206596,0.9888018535004418,1.024906074504714
